,award,count
0,Adapted Screenplay,30
1,Animated Film,30
2,Best Achievement in Art Direction,40
3,Best Achievement in Cinematography,95
4,Best Achievement in Costume Design,95
5,Best Achievement in Directing,95
6,Best Achievement in Film Editing,95
7,Best Achievement in Makeup,24
8,Best Achievement in Makeup and Hairstyling,41
9,Best Achievement in Music Written for Motion Pictures (Original Score),35
10,Best Achievement in Music Written for Motion Pictures (Original Song),35
11,"Best Achievement in Music Written for Motion Pictures, Original Score",60
12,"Best Achievement in Music Written for Motion Pictures, Original Song",52
13,Best Achievement in Production Design,55
14,Best Achievement in Sound Editing,76
15,Best Achievement in Sound Mixing,80
16,Best Achievement in Special Visual Effects,80
17,Best Achievement in Visual Effects,83
18,Best Actor in a Leading Role,30
19,Best Actor in a Supporting Role,30
20,Best Actress in a Leading Role,30
21,Best Actress in a Supporting Role,30
22,Best Adapted Screenplay,135
23,Best Animated Feature,16
24,Best Animated Feature Film,77
25,Best Animated Feature Film of the Year,48
26,Best Animated Featured Film,7
27,Best Animated Film,38
28,Best Art Direction-Set Decoration,25
29,Best Casting,20
30,Best Cinematography,266
31,Best Costume Design,144
32,Best Director,170
33,Best Director - Motion Picture,123
34,Best Documentary,167
35,Best Documentary Feature,35
36,Best Documentary Film,8
37,Best Documentary Screenplay,39
38,"Best Documentary, Feature",10
39,"Best Documentary, Features",75
40,Best Edited Animated Feature Film,49
41,Best Edited Documentary,15
42,Best Edited Documentary - Feature,41
43,Best Edited Documentary - Theatrical,5
44,Best Edited Documentary Film,24
45,Best Edited Feature Film - Comedy,40
46,Best Edited Feature Film - Dramatic,122
47,Best Editing,171
48,"Best Effects, Sound Effects Editing",3
49,"Best Effects, Visual Effects",9
50,Best Feature,121
51,Best Female Lead,120
52,Best Film,120
53,Best Film Editing,25
54,Best Film Not in the English Language,55
55,Best Film not in the English Language,65
56,Best Foreign Film,60
57,Best Foreign Language Film,106
58,Best Foreign Language Film of the Year,75
59,Best International Feature Film,20
60,Best International Film,63
61,Best Lead Performance,10
62,Best Leading Actor,83
63,Best Leading Actress,83
64,Best Make Up & Hair,50
65,Best Make Up/Hair,64
66,Best Makeup,15
67,Best Makeup and Hair,5
68,Best Male Lead,117
69,Best Motion Picture - Animated,40
70,Best Motion Picture - Drama,125
71,Best Motion Picture - Foreign Language,30
72,Best Motion Picture - Non-English Language,10
73,Best Motion Picture of the Year,151
74,"Best Music, Original Score",25
75,"Best Music, Original Song",25
76,Best Original Music,10
77,Best Original Score - Motion Picture,128
78,Best Original Screenplay,135
79,Best Original Song - Motion Picture,120
80,Best Performance by an Actor in a Leading Role,131
81,Best Performance by an Actor in a Motion Picture - Drama,120
82,Best Performance by an Actor in a Supporting Role,130
83,Best Performance by an Actor in a Supporting Role in Any Motion Picture,5
84,Best Performance by an Actor in a Supporting Role in a Motion Picture,117
85,Best Performance by an Actress in a Leading Role,129
86,Best Performance by an Actress in a Motion Picture - Drama,121
87,Best Performance by an Actress in a Supporting Role,130
88,Best Performance by an Actress in a Supporting Role in Any Motion Picture,5
89,Best Performance by an Actress in a Supporting Role in a Motion Picture,117
90,Best Picture,25
91,Best Production Design,120
92,Best Production Design/Art Direction,1
93,Best Screenplay,120
94,Best Screenplay (Adapted),40
95,Best Screenplay (Original),40
96,Best Screenplay - Adapted,54
97,Best Screenplay - Motion Picture,120
98,Best Screenplay - Original,55
99,Best Screenplay Based on Material Previously Produced or Published,15
100,Best Screenplay Written Directly for the Screen,15
101,Best Sound,154
102,Best Sound Editing,10
103,Best Sound Mixing,5
104,Best Special Visual Effects,40
105,Best Supporting Actor,83
106,Best Supporting Actress,83
107,Best Supporting Female,115
108,Best Supporting Male,115
109,Best Supporting Performance,10
110,Best Visual Effects,6
111,"Best Writing, Adapted Screenplay",70
112,"Best Writing, Original Screenplay",70
113,"Best Writing, Screenplay Based on Material Previously Produced or Published",15
114,"Best Writing, Screenplay Written Directly for the Screen",15
115,Contemporary Film,115
116,Documentary,366
117,Documentary Screenplay,26
118,Dramatic,368
119,Fantasy Film,92
120,Feature Film,5
121,Original Music,20
122,Original Score,15
123,Original Screenplay,30
124,Outstanding Achievement in Cinematography in Documentary Film,9
125,Outstanding Achievement in Cinematography in Feature Film,22
126,Outstanding Achievement in Cinematography in Non-Fiction Filmmaking,3
127,Outstanding Achievement in Cinematography in Theatrical Feature Film,5
128,Outstanding Achievement in Cinematography in Theatrical Releases,95
129,Outstanding Achievement in Sound Mixing for Motion Pictures,45
130,Outstanding Achievement in Sound Mixing for Motion Pictures - Animated,55
131,Outstanding Achievement in Sound Mixing for Motion Pictures - Documentary,35
132,Outstanding Achievement in Sound Mixing for Motion Pictures - Live Action,55
133,Outstanding Achievement in Sound Mixing for a Feature Film,11
134,Outstanding Action Performance by a Stunt Ensemble in a Motion Picture,55
135,Outstanding Directorial Achievement in Documentary,121
136,Outstanding Directorial Achievement in Feature Film,35
137,Outstanding Directorial Achievement in Motion Pictures,75
138,Outstanding Directorial Achievement in Theatrical Feature Film,10
139,Outstanding Performance by a Cast in a Motion Picture,101
140,Outstanding Performance by a Cast in a Theatrical Motion Picture,5
141,Outstanding Performance by a Female Actor in a Leading Role,120
142,Outstanding Performance by a Female Actor in a Supporting Role,120
143,Outstanding Performance by a Male Actor in a Leading Role,120
144,Outstanding Performance by a Male Actor in a Supporting Role,120
145,Outstanding Performance by a Stunt Ensemble in a Motion Picture,24
146,Outstanding Performance by the Cast of a Theatrical Motion Picture,15
147,Outstanding Sound Mixing for Motion Pictures,10
148,Period Film,88
149,Period or Fantasy Film,30
150,World Cinema - Documentary,241
151,World Cinema - Dramatic,250
